name
S&P Merval
S&P/ASX 200
ATX
Bahrain All Share
DSE 30
BEL 20
BIRS
Sarajevo 10
BSE Domestic Company
Bovespa
BSE SOFIX
S&P/TSX
S&P CLX IPSA
Shanghai
SZSE Component
COLCAP
CROBEX
Cyprus Main Market
PX
OMXC20
DFM General
ADX General
Guayaquil Select
EGX 30
OMX Helsinki 25
CAC 40
DAX
Euro Stoxx 50
Athens General Composite
Hang Seng
Budapest SE
ICEX Main
BSE Sensex
Nifty 50
IDX Composite
ISX Main 60
ISEQ Overall
TA 35
FTSE MIB
BRVM 10
JSE Market
Nikkei 225
Amman SE General
KASE
Kenya NSE 20
BLOM Stock
KLCI
MSE
Semdex
FTSE BIVA Real Time Price
S&P/BMV IPC
MNE Top 20
MNSE 10
Moroccan All Shares
NSX
AEX
NZX MidCap
NZX 50
NSE 30
OSE Benchmark
Oslo OBX
MSM 30
Karachi 100
Al-Quds
S&P Lima General
PSEi Composite
WIG30
WIG20
PSI 20
QE General
BET
RTSI
MOEX
Rwanda All Share
Tadawul All Share
Belex 15
STI Index
SAX
Blue-Chip SBITOP
FTSE/JSE Top 40
South Africa 40
KOSPI 50
KOSPI
IBEX 35
CSE All-Share
OMXS30
SMI
TPEx 50
Taiwan Weighted
Tanzania All Share
SET
Tunindex20
Tunindex
BIST 100
Uganda All Share
PFTS
FTSE 100
Dow 30
Nasdaq 100
Nasdaq
S&P 500
Bursatil
VN 30
HNX 30
LSE All Share
